region,feature,family,F1,F2,F3,mean_residual_ic,median_residual_ic,same_direction_3of3,at_least_2_folds_abs_ic_ge_0_01,stable_meaningful,abs_mean_residual_ic,mean_d0_prediction_ic
full,ret_60,return,0.116401098,0.018414646,0.126606393,0.087140712,0.116401098,True,True,True,0.087140712,-0.152975809
full,ret_5_minus_20,return,-0.060779169,0.016753424,-0.088921881,-0.044315875,-0.060779169,False,True,False,0.044315875,0.084378205
full,ret_20_minus_60,return,-0.026602889,0.006403175,-0.020902052,-0.013700589,-0.020902052,False,True,False,0.013700589,0.024637715
full,distmin_5,trend,0.220862289,0.223025108,0.237750125,0.227212507,0.223025108,True,True,True,0.227212507,-0.363433848
full,distmin_20,trend,0.183332340,0.122440327,0.193273931,0.166348866,0.183332340,True,True,True,0.166348866,-0.278129469
full,distmin_60,trend,0.175539563,0.090833719,0.180169601,0.148847628,0.175539563,True,True,True,0.148847628,-0.250795901
full,emadev_5,trend,0.163536138,0.115571142,0.161400350,0.146835877,0.161400350,True,True,True,0.146835877,-0.228115807
full,madev_3,trend,0.134219376,0.153910357,0.141326866,0.143152200,0.141326866,True,True,True,0.143152200,-0.212645440
full,madev_5,trend,0.152072466,0.119620224,0.155334463,0.142342384,0.152072466,True,True,True,0.142342384,-0.218297181
full,emadev_10,trend,0.170031223,0.077936237,0.172216118,0.140061193,0.170031223,True,True,True,0.140061193,-0.227772766
full,madev_10,trend,0.162021213,0.078908284,0.159151715,0.133360404,0.159151715,True,True,True,0.133360404,-0.215931056
full,emadev_20,trend,0.169798434,0.048511234,0.180294507,0.132868058,0.169798434,True,True,True,0.132868058,-0.225277566
full,emadev_60,trend,0.161378916,0.036860099,0.171185070,0.123141362,0.161378916,True,True,True,0.123141362,-0.214314104
full,madev_30,trend,0.158645256,0.032249103,0.175382554,0.122092304,0.158645256,True,True,True,0.122092304,-0.212776339
full,madev_20,trend,0.156220973,0.034766137,0.172303888,0.121096999,0.156220973,True,True,True,0.121096999,-0.207617472
full,rsv_5,trend,0.117888235,0.109401703,0.135785918,0.121025285,0.117888235,True,True,True,0.121025285,-0.179078859
full,slope_5,trend,0.135110298,0.065771295,0.138972962,0.113284852,0.135110298,True,True,True,0.113284852,-0.177578640
full,madev_60,trend,0.149296676,0.022364112,0.165230309,0.112297032,0.149296676,True,True,True,0.112297032,-0.199987705
full,rsv_10,trend,0.100267884,0.049942075,0.113711924,0.087973961,0.100267884,True,True,True,0.087973961,-0.143107938
full,slope_10,trend,0.116992726,0.012717985,0.111824074,0.080511595,0.111824074,True,True,True,0.080511595,-0.143582474
full,ma_5_over_20,trend,0.113847331,-0.015181675,0.132058051,0.076907902,0.113847331,False,True,False,0.076907902,-0.141887784
full,slope_20,trend,0.102570549,-0.016036779,0.131948628,0.072827466,0.102570549,False,True,False,0.072827466,-0.134484492
full,rsv_20,trend,0.091770534,-0.001112561,0.115992687,0.068883553,0.091770534,False,True,False,0.068883553,-0.122288849
full,rsv_60,trend,0.102783615,-0.017644967,0.112150092,0.065762913,0.102783615,False,True,False,0.065762913,-0.123667691
full,ma_10_over_20,trend,0.089374625,-0.023858268,0.120211787,0.061909381,0.089374625,False,True,False,0.061909381,-0.117015110
full,ma_20_over_60,trend,0.079520858,-0.005162421,0.089218117,0.054525518,0.079520858,False,True,False,0.054525518,-0.105379301
full,slope_60,trend,0.077757592,-0.006754029,0.084960128,0.051987897,0.077757592,False,True,False,0.051987897,-0.098344280
full,distmax_20,trend,0.002546131,-0.118680269,0.003074707,-0.037686477,0.002546131,False,False,False,0.037686477,0.057576983
full,distmax_5,trend,-0.014733492,-0.050579787,-0.023081921,-0.029465067,-0.023081921,True,True,True,0.029465067,0.072433967
full,distmax_60,trend,0.026770048,-0.111320041,0.024668010,-0.019960661,0.024668010,False,True,False,0.019960661,0.020402266
full,rsq_10,trend,-0.017999986,-0.005098277,-0.027337203,-0.016811822,-0.017999986,True,True,True,0.016811822,0.020931297
full,rsq_5,trend,-0.017770327,-0.015437416,-0.014664267,-0.015957337,-0.015437416,True,True,True,0.015957337,0.030929157
full,rsq_60,trend,-0.025647825,0.011951229,0.023287644,0.003197016,0.011951229,False,True,False,0.003197016,0.000899109
full,rsq_20,trend,-0.018465520,0.019293074,0.004484664,0.001770739,0.004484664,False,True,False,0.001770739,0.000479945
full,gkvol_5,volatility,0.215987551,0.243208190,0.219211964,0.226135902,0.219211964,True,True,True,0.226135902,-0.381753666
full,parkinson_5,volatility,0.205089844,0.240841389,0.205870197,0.217267143,0.205870197,True,True,True,0.217267143,-0.367301774
full,gkvol_10,volatility,0.202580857,0.233255056,0.206110144,0.213982019,0.206110144,True,True,True,0.213982019,-0.360278092
full,atr_5,volatility,0.195302590,0.234610545,0.199748051,0.209887062,0.199748051,True,True,True,0.209887062,-0.357065631
full,parkinson_10,volatility,0.195487488,0.234583247,0.196270855,0.208780530,0.196270855,True,True,True,0.208780530,-0.351709192
full,gkvol_20,volatility,0.191599259,0.228298828,0.189395673,0.203097920,0.191599259,True,True,True,0.203097920,-0.339271909
full,parkinson_20,volatility,0.188944827,0.230434124,0.182919530,0.200766160,0.188944827,True,True,True,0.200766160,-0.334934076
full,atr_10,volatility,0.179778318,0.227478575,0.185001451,0.197419448,0.185001451,True,True,True,0.197419448,-0.333924984
full,stdret_20,volatility,0.175215802,0.220021793,0.160624805,0.185287467,0.175215802,True,True,True,0.185287467,-0.306434510
full,atr_20,volatility,0.162879700,0.222963311,0.163512434,0.183118482,0.163512434,True,True,True,0.183118482,-0.305112536
full,stdret_10,volatility,0.163480209,0.214717555,0.159726952,0.179308239,0.163480209,True,True,True,0.179308239,-0.301326342
full,gkvol_60,volatility,0.157802616,0.211748931,0.152878324,0.174143290,0.157802616,True,True,True,0.174143290,-0.288836319
full,parkinson_60,volatility,0.157594293,0.213087226,0.149836000,0.173505840,0.157594293,True,True,True,0.173505840,-0.287793904
full,stdret_60,volatility,0.155872536,0.207726060,0.140135303,0.167911300,0.155872536,True,True,True,0.167911300,-0.277305928
full,stdret_5,volatility,0.150831984,0.199019388,0.142339317,0.164063563,0.150831984,True,True,True,0.164063563,-0.279631895
full,atr_60,volatility,0.106859648,0.205481890,0.113751010,0.142030849,0.113751010,True,True,True,0.142030849,-0.230618552
full,downvol_60,volatility,0.106122642,0.203619342,0.107933410,0.139225131,0.107933410,True,True,True,0.139225131,-0.228584613
full,downvol_20,volatility,0.096391920,0.201412505,0.101538540,0.133114322,0.101538540,True,True,True,0.133114322,-0.217022253
full,downvol_10,volatility,0.071247060,0.184479976,0.085837281,0.113854772,0.085837281,True,True,True,0.113854772,-0.187376930
full,downvol_5,volatility,0.020196337,0.106146961,0.024581871,0.050308390,0.024581871,True,True,True,0.050308390,-0.096833128
full,volratio_60,volume,0.182265518,0.130572478,0.187257529,0.166698508,0.182265518,True,True,True,0.166698508,-0.284426859
full,logvol_std_20,volume,0.147505323,0.172514352,0.141982081,0.154000585,0.147505323,True,True,True,0.154000585,-0.246527440
full,volchg_20,volume,0.151277690,0.121823486,0.150910536,0.141337237,0.150910536,True,True,True,0.141337237,-0.238198496
full,logvol_std_5,volume,0.137141821,0.146788247,0.137779437,0.140569835,0.137779437,True,True,True,0.140569835,-0.220491597
full,volratio_20,volume,0.139249219,0.107318760,0.146163731,0.130910570,0.139249219,True,True,True,0.130910570,-0.224546073
full,logvol_std_60,volume,0.120228765,0.146979125,0.100268129,0.122492006,0.120228765,True,True,True,0.122492006,-0.197377718
full,volchg_5,volume,0.130772676,0.101439126,0.115366243,0.115859348,0.115366243,True,True,True,0.115859348,-0.192388491
full,volratio_10,volume,0.123042911,0.103347061,0.118008835,0.114799602,0.118008835,True,True,True,0.114799602,-0.194216407
full,volratio_5,volume,0.097191394,0.093312411,0.087673887,0.092725897,0.093312411,True,True,True,0.092725897,-0.156946343
full,volratio_3,volume,0.078885149,0.090152576,0.064995010,0.078010912,0.078885149,True,True,True,0.078010912,-0.133195413
full,volchg_1,volume,0.058549232,0.074892859,0.040940378,0.058127490,0.058549232,True,True,True,0.058127490,-0.099591070
full,corr_ret_dlogamt_20,volume_price,0.158163370,0.113546032,0.154453648,0.142054350,0.154453648,True,True,True,0.142054350,-0.235908644
full,corr_ret_dlogamt_5,volume_price,0.156674567,0.117385042,0.151943470,0.142001026,0.151943470,True,True,True,0.142001026,-0.230902508
full,corr_ret_dlogvol_5,volume_price,0.156235199,0.115132491,0.152160003,0.141175898,0.152160003,True,True,True,0.141175898,-0.229159606
full,corr_ret_dlogvol_20,volume_price,0.154836713,0.108389813,0.149217573,0.137481366,0.149217573,True,True,True,0.137481366,-0.228608749
middle60,logamt_std_20,amount,0.054229766,0.066212301,0.052850123,0.057764063,0.054229766,True,True,True,0.057764063,-0.133763083
middle60,logamt_std_5,amount,0.054233262,0.054261974,0.052361901,0.053619046,0.054233262,True,True,True,0.053619046,-0.124234730
middle60,amtratio_60,amount,0.063816975,0.030838498,0.064867602,0.053174358,0.063816975,True,True,True,0.053174358,-0.142144058
middle60,amtchg_20,amount,0.054800442,0.034537475,0.050369060,0.046568992,0.050369060,True,True,True,0.046568992,-0.116391814
middle60,logamt_std_60,amount,0.048140479,0.055232465,0.032769040,0.045380661,0.048140479,True,True,True,0.045380661,-0.097789966
middle60,amtratio_20,amount,0.046440989,0.023032754,0.048765998,0.039413247,0.046440989,True,True,True,0.039413247,-0.099534900
middle60,amtchg_5,amount,0.050518112,0.027366123,0.036871629,0.038251955,0.036871629,True,True,True,0.038251955,-0.086908442
middle60,amtratio_10,amount,0.040235771,0.027629307,0.037962165,0.035275748,0.037962165,True,True,True,0.035275748,-0.081704331
middle60,amtratio_5,amount,0.030538301,0.027645390,0.027873647,0.028685779,0.027873647,True,True,True,0.028685779,-0.064565181
middle60,amtratio_3,amount,0.024030917,0.031264136,0.016434822,0.023909958,0.024030917,True,True,True,0.023909958,-0.055398048
middle60,amtchg_1,amount,0.019761301,0.029019049,0.005502224,0.018094191,0.019761301,True,True,True,0.018094191,-0.042231325
middle60,klen__csr_d0,cross_section_rank,0.077292363,0.098784688,0.061668813,0.079248621,0.077292363,True,True,True,0.079248621,-0.212999024
middle60,klow__csr_d0,cross_section_rank,0.070237622,0.077590831,0.081647275,0.076491909,0.077590831,True,True,True,0.076491909,-0.188916280
middle60,csr_stdret_20,cross_section_rank,0.074782859,0.090664491,0.063561942,0.076336431,0.074782859,True,True,True,0.076336431,-0.193644907
