experiment,fold,variant,alpha,exit_fraction,ic_mean,annual_excess,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows,turnover_gap
E006,F1,grid,0.40000000000000002,0.25,0.1088227690840648,0.36630222927984701,0.28004447967753232,0.3694064325143202,0.35468455940454252,0.0003073001870915,110641,0.074640079727010103
E006,F2,grid,0.40000000000000002,0.25,0.092911578767755701,0.1793990875834777,0.29819593535712591,0.30152557717500772,0.34975552204801852,0.00017949454336580001,111424,0.051559586690892702
E006,F1,grid,0.29999999999999982,0.14999999999999991,0.1032474236789591,0.37808864524600261,0.33205591793184691,0.35510878766583032,0.40278061260453663,0.00031633842788820002,110641,0.0707246946726897
E006,F2,grid,0.29999999999999982,0.14999999999999991,0.088852424715097605,0.1976540871176457,0.3518168737587628,0.2892921338937039,0.4010505542060821,0.0001615450890292,111424,0.049233680447319302
E006,F1,grid,0.29999999999999982,0.17499999999999991,0.1031171602927213,0.3726466224172631,0.2925027078183105,0.36529003849677433,0.36226488839128662,0.00032537666868510002,110641,0.069762180572975799
E006,F2,grid,0.29999999999999982,0.17499999999999991,0.088734084287047002,0.1869029135368733,0.30752600427653642,0.29930670649291963,0.35758467103044811,0.0001615450890292,111424,0.0500586667539114
E006,F1,grid,0.29999999999999982,0.20000000000000001,0.1029942037948394,0.37032362420808401,0.26097255217982762,0.3740030031264126,0.3304105931459026,0.00031633842788820002,110641,0.069438040966074602
E006,F2,grid,0.29999999999999982,0.20000000000000001,0.088629368685226001,0.178497811017407,0.27374419317473753,0.30687783282689102,0.32264919172238782,0.0001615450890292,111424,0.048904998547650201
E006,F1,grid,0.29999999999999982,0.22500000000000001,0.1028051513272991,0.36211130578991563,0.2345684879691261,0.37938490587715651,0.30451999423632842,0.0003073001870915,110641,0.069951506267202201
E006,F2,grid,0.29999999999999982,0.22500000000000001,0.088517739930308301,0.16845491732660531,0.2452032367972885,0.3123826001309184,0.29293056004201462,0.0001705198161974,111424,0.047727323244726103
E006,F1,grid,0.29999999999999982,0.25,0.1026340034813297,0.3673322612597254,0.2129364952965257,0.38737233118149172,0.28242184689960542,0.00031633842788820002,110641,0.069485351603079601
E006,F2,grid,0.29999999999999982,0.25,0.0884422334864962,0.16938105576237361,0.2211209917952989,0.31985491258472082,0.26936228501539661,0.00015257036186090001,111424,0.0482412932200975
