trade_date,group_size
20211208,4155
20211209,4154
20211210,4156
20211213,4156
20211214,4153
20211215,4155
20211216,4158
20211217,4159
20211220,4161
20211221,4159
20211222,4161
20211223,4169
20211224,4168
20211227,4171
20211228,4171
20211229,4172
20211230,4170
20211231,4170
20220104,4174
20220105,4174
20220106,4176
20220107,4177
20220110,4178
20220111,4181
20220112,4179
20220113,4180
20220114,4178
20220117,4182
20220118,4184
20220119,4182
20220120,4185
20220121,4184
20220124,4186
20220125,4187
20220126,4188
20220127,4192
20220128,4194
20220207,4195
20220208,4196
20220209,4186
20220210,4187
20220211,4198
20220214,4199
20220215,4200
20220216,4200
20220217,4202
20220218,4202
20220221,4204
20220222,4207
20220223,4208
20220224,4208
20220225,4208
20220228,4207
20220301,4210
20220302,4210
20220303,4211
20220304,4210
20220307,4209
20220308,4209
20220309,4209
20220310,4211
20220311,4212
20220314,4218
20220315,4220
20220316,4220
20220317,4219
20220318,4221
20220321,4222
20220322,4226
20220323,4225
20220324,4223
20220325,4223
20220328,4228
20220329,4231
20220330,4229
20220331,4228
20220401,4227
20220406,4226
20220407,4226
20220408,4225
20220411,4228
20220412,4232
20220413,4234
20220414,4231
20220415,4226
20220418,4227
20220419,4227
20220420,4233
20220421,4236
20220422,4232
20220425,4235
20220426,4235
20220427,4226
20220428,4219
20220429,4191
20220505,4189
20220506,4217
20220509,4232
20220510,4235
20220511,4233
20220512,4236
20220513,4237
20220516,4237
20220517,4237
20220518,4234
20220519,4234
20220520,4240
20220523,4241
20220524,4240
20220525,4239
20220526,4240
20220527,4238
20220530,4244
20220531,4246
20220601,4244
20220602,4245
20220606,4251
20220607,4252
20220608,4251
20220609,4250
20220610,4251
20220613,4252
20220614,4252
20220615,4255
20220616,4255
20220617,4257
20220620,4258
20220621,4256
20220622,4257
20220623,4259
20220624,4263
20220627,4265
20220628,4264
20220629,4264
20220630,4266
20220701,4271
20220704,4273
20220705,4275
20220706,4279
20220707,4280
20220708,4278
20220711,4276
20220712,4279
20220713,4280
20220714,4283
20220715,4284
20220718,4283
20220719,4285
20220720,4285
20220721,4285
20220722,4281
20220725,4281
20220726,4283
20220727,4284
20220728,4283
20220729,4281
20220801,4283
20220802,4285
20220803,4286
20220804,4285
20220805,4285
20220808,4286
20220809,4284
20220810,4281
20220811,4282
20220812,4279
20220815,4280
20220816,4282
20220817,4283
20220818,4284
20220819,4282
20220822,4281
20220823,4281
20220824,4281
20220825,4282
20220826,4283
20220829,4284
20220830,4285
20220831,4284
20220901,4284
20220902,4285
20220905,4285
20220906,4285
20220907,4285
20220908,4286
20220909,4284
20220913,4283
20220914,4280
20220915,4279
20220916,4280
20220919,4282
20220920,4283
20220921,4283
20220922,4283
20220923,4283
20220926,4283
20220927,4284
20220928,4282
20220929,4279
20220930,4280
20221010,4282
20221011,4282
20221012,4280
20221013,4281
20221014,4280
20221017,4280
20221018,4280
20221019,4280
20221020,4282
20221021,4282
20221024,4282
20221025,4280
20221026,4277
20221027,4281
20221028,4280
20221031,4279
20221101,4279
20221102,4278
20221103,4281
20221104,4283
20221107,4281
20221108,4279
20221109,4279
20221110,4283
20221111,4281
20221114,4282
20221115,4282
20221116,4279
20221117,4276
20221118,4279
20221121,4280
20221122,4281
20221123,4283
20221124,4285
20221125,4284
20221128,4286
20221129,4287
20221130,4286
20221201,4286
20221202,4283
20221205,4283
20221206,4283
20221207,4282
20221208,4280
20221209,4280
20221212,4284
20221213,4283
20221214,4283
20221215,4283
20221216,4279
20221219,4278
20221220,4274
20221221,4273
20221222,4281
20221223,4280
20221226,4281
20221227,4280
20221228,4280
20221229,4280
