trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection
20240509,-0.37002140811966083,0.015521064301552107,0.030567685589519649,458,14
20240510,-0.37002491188257558,0.016574585635359115,0.032608695652173912,460,15
20240513,-0.48611835371893136,0.0043572984749455342,0.0086767895878524948,461,4
20240514,-0.57287925335544088,0.0066225165562913907,0.013157894736842105,456,6
20240515,-0.5649715997293131,0.0032858707557502738,0.0065502183406113534,458,3
20240516,-0.51014538112278729,0.016648168701442843,0.032751091703056769,458,15
20240517,-0.61339569182533138,0.0022026431718061676,0.0043956043956043956,455,2
20240520,-0.51228865531603174,0.021181716833890748,0.04148471615720524,458,19
20240521,-0.66008172623100858,0.0010857763300760044,0.0021691973969631237,461,1
20240522,-0.6224025094669301,0.011013215859030838,0.02178649237472767,459,10
20240523,-0.22575276444317455,0.013186813186813187,0.026030368763557483,461,12
20240524,-0.42508034211728196,0.0076838638858397366,0.015250544662309368,459,7
20240527,-0.62871897692339318,0,0,460,0
20240528,-0.4741722421483085,0.017660044150110375,0.034707158351409979,461,16
20240529,-0.59916279357104762,0.0087527352297592995,0.01735357917570499,461,8
20240530,-0.36998401516903834,0.038374717832957109,0.073913043478260873,460,34
20240531,-0.42845561255037562,0.064814814814814811,0.12173913043478261,460,56
20240603,-0.069560532698952668,0.076923076923076927,0.14285714285714285,462,66
20240604,-0.22753872475824194,0.066048667439165695,0.12391304347826088,460,57
20240605,-0.28907570126500987,0.03125,0.060606060606060608,462,28
20240606,0.30594960505533514,0.13096695226438188,0.23160173160173161,462,107
20240607,-0.28701853422847895,0.0099667774086378731,0.019736842105263157,456,9
20240611,-0.45825140955588289,0.019955654101995565,0.039130434782608699,460,18
20240612,-0.44163985422668978,0.020179372197309416,0.039560439560439559,455,18
20240613,-0.36011855566363887,0.02914798206278027,0.056644880174291937,459,26
20240614,-0.45389855768427612,0.039637599093997736,0.076252723311546838,459,35
20240617,-0.29706729091347778,0.043083900226757371,0.082608695652173908,460,38
20240618,-0.59096020134493721,0.011037527593818985,0.021834061135371178,458,10
20240619,-0.38297361009531133,0.030371203599550055,0.058951965065502182,458,27
20240620,0.10068388403747652,0.051194539249146756,0.097402597402597407,462,45
20240621,-0.37137050500599139,0.06358381502890173,0.11956521739130435,460,55
20240624,0.24197163105990971,0.070847851335656215,0.13232104121475055,461,61
20240625,-0.29551334229897225,0.033860045146726865,0.065502183406113537,458,30
20240626,-0.13436679889632366,0.029213483146067417,0.056768558951965066,458,26
20240627,-0.15397111112870004,0.022222222222222223,0.043478260869565216,460,20
20240628,-0.35626027713187847,0.046643913538111488,0.089130434782608695,460,41
20240701,-0.56823975049503905,0.020044543429844099,0.039301310043668124,458,18
20240702,-0.59532398483367455,0.015521064301552107,0.030567685589519649,458,14
20240703,-0.50122501162807342,0.017777777777777778,0.034934497816593885,458,16
20240704,0.10334558729828254,0.050000000000000003,0.095238095238095233,462,44
20240705,-0.63007119083670737,0.0021834061135371178,0.0043572984749455342,459,2
20240708,-0.16844192576017439,0.032402234636871509,0.062770562770562768,462,29
20240709,-0.56052429389317349,0.025698324022346369,0.050108932461873638,459,23
20240710,-0.33541526708601066,0.040816326530612242,0.078431372549019607,459,36
20240711,-0.002169385473077109,0.046082949308755762,0.088105726872246701,454,40
20240712,-0.43189842588236926,0.016611295681063124,0.032679738562091505,459,15
20240715,-0.40397063639049824,0.012101210121012101,0.02391304347826087,460,11
20240716,-0.59903809119431872,0.0076838638858397366,0.015250544662309368,459,7
20240717,-0.057391865864410176,0.093935790725326998,0.17173913043478262,460,79
20240718,-0.53343621750737924,0.02,0.039215686274509803,459,18
20240719,-0.43876515691121337,0.058823529411764705,0.1111111111111111,459,51
20240722,-0.58748532906432671,0.0099228224917309819,0.019650655021834062,458,9
20240723,-0.092182572214020805,0.038461538461538464,0.07407407407407407,459,34
20240724,-0.14774611161457898,0.039637599093997736,0.076252723311546838,459,35
20240725,-0.51302838087395486,0.030303030303030304,0.058823529411764705,459,27
20240726,-0.62297897177581729,0.0077007700770077006,0.015283842794759825,458,7
20240729,-0.68136510702244435,0.0055005500550055009,0.010940919037199124,457,5
20240730,-0.68628305382621846,0.0033003300330033004,0.0065789473684210523,456,3
20240731,0.096759898946303116,0.0743801652892562,0.13846153846153847,455,63
20240801,-0.48575619786954244,0.0055005500550055009,0.010940919037199124,457,5
20240802,-0.48830084586813799,0.0032786885245901639,0.0065359477124183009,459,3
20240805,-0.15827870711118075,0.0099009900990099011,0.019607843137254902,459,9
20240806,-0.40990895833218666,0.0066079295154185024,0.013129102844638949,457,6
20240807,-0.73091781970723035,0.0021929824561403508,0.0043763676148796497,457,2
20240808,-0.55734120873138637,0.017817371937639197,0.035010940919037198,457,16
20240809,-0.57112417106460545,0.0076502732240437158,0.015184381778741865,461,7
20240812,-0.27727326097017496,0.053714285714285714,0.1019522776572668,461,47
20240813,-0.50574452171944484,0.016574585635359115,0.032608695652173912,460,15
20240814,-0.5126489919242968,0.012101210121012101,0.02391304347826087,460,11
20240815,-0.75844457931175169,0.0054764512595837896,0.010893246187363835,459,5
20240816,-0.45389905914870404,0.029082774049217001,0.056521739130434782,460,26
20240819,-0.51819510928183898,0.022271714922048998,0.04357298474945534,459,20
20240820,-0.43224289541456945,0.0032644178454842221,0.0065075921908893707,461,3
20240821,-0.57416969398969431,0.016611295681063124,0.032679738562091505,459,15
20240822,-0.36024412407159467,0.017699115044247787,0.034782608695652174,460,16
20240823,-0.41524113687276609,0.021087680355160933,0.041304347826086954,460,19
20240826,-0.61826578174634816,0.011037527593818985,0.021834061135371178,458,10
20240827,-0.39100924426429456,0.014364640883977901,0.028322440087145968,459,13
20240828,-0.60345450387018462,0.016611295681063124,0.032679738562091505,459,15
20240829,-0.59512410850938102,0.0043859649122807015,0.0087336244541484712,458,4
20240830,-0.14283986624717421,0.0066225165562913907,0.013157894736842105,456,6
20240902,-0.19987426832593402,0.027995520716685332,0.054466230936819175,459,25
20240903,-0.58941652061315797,0.0043956043956043956,0.0087527352297592995,457,4
20240904,-0.63767320818180961,0.0032715376226826608,0.0065217391304347823,460,3
20240905,-0.68980661382860442,0.0032858707557502738,0.0065502183406113534,458,3
20240906,-0.19408567234256538,0.021087680355160933,0.041304347826086954,460,19
20240909,-0.52268444038013595,0.018867924528301886,0.037037037037037035,459,17
20240910,-0.56019297250272782,0.014332965821389196,0.028260869565217391,460,13
20240911,-0.59530026335057595,0.015418502202643172,0.030368763557483729,461,14
20240912,-0.47206728086960215,0.031390134529147982,0.060869565217391307,460,28
20240913,-0.25282374151554055,0.049030786773090078,0.093478260869565219,460,43
20240918,-0.41000396435981967,0.047727272727272729,0.091106290672451198,461,42
20240919,-0.091098340920036713,0.048165137614678902,0.091903719912472648,457,42
20240920,-0.59993057683141304,0.017777777777777778,0.034934497816593885,458,16
20240923,-0.59244970686216925,0.029213483146067417,0.056768558951965066,458,26
20240924,-0.092991798669170969,0.020179372197309416,0.039560439560439559,455,18
20240925,-0.252636543156462,0.015521064301552107,0.030567685589519649,458,14
20240926,-0.13047019614596478,0.041763341067285381,0.080178173719376397,449,36
20240927,0.076692881023895224,0.079136690647482008,0.14666666666666667,450,66
20240930,0.321484596699249,0.047748976807639835,0.091145833333333329,384,35
20241008,0.38784136926588336,0.062416998671978752,0.11749999999999999,400,47
20241009,0.24608777471077656,0.069930069930069935,0.13071895424836602,459,60
20241010,-0.29870936825205502,0.028184892897406989,0.054824561403508769,456,25
20241011,-0.55409758150302457,0,0,459,0
20241014,-0.38956107475629242,0.0066666666666666671,0.013245033112582781,453,6
20241015,-0.69500167373474953,0,0,457,0
20241016,-0.73262941837857565,0,0,454,0
