trade_date,prediction_spearman,top10_jaccard,top10_overlap,top_size,intersection,top10_exclusive_union_fraction,top10_per_model_exclusive_fraction
20230406,0.67925399560820254,0.61821366024518387,0.76406926406926412,462,353,0.38178633975481613,0.23593073593073588
20230407,0.56182296383252528,0.2348993288590604,0.38043478260869568,460,175,0.7651006711409396,0.61956521739130432
20230410,0.7138561055695658,0.62456140350877198,0.7688984881209503,463,356,0.37543859649122802,0.2311015118790497
20230411,0.63354978460658951,0.59240069084628666,0.7440347071583514,461,343,0.40759930915371334,0.2559652928416486
20230412,0.6598181908838967,0.63636363636363635,0.77777777777777779,459,357,0.36363636363636365,0.22222222222222221
20230413,0.70721245509613972,0.72014925373134331,0.83731019522776573,461,386,0.27985074626865669,0.16268980477223427
20230414,0.63623861278136362,0.52145214521452143,0.68546637744034711,461,316,0.47854785478547857,0.31453362255965289
20230417,0.58992832248279026,0.46581875993640698,0.63557483731019526,461,293,0.53418124006359302,0.36442516268980474
20230418,0.59059498923805642,0.38530734632683661,0.55627705627705626,462,257,0.61469265367316339,0.44372294372294374
20230419,0.62442607488888546,0.7271028037383177,0.84199134199134196,462,389,0.2728971962616823,0.15800865800865804
20230420,0.65242006804567187,0.70110701107011075,0.824295010845987,461,380,0.29889298892988925,0.175704989154013
20230421,0.65671513185788377,0.51060358890701463,0.67602591792656586,463,313,0.48939641109298537,0.32397408207343414
20230424,0.68888646473040471,0.69797421731123388,0.82212581344902391,461,379,0.30202578268876612,0.17787418655097609
20230425,0.73568146971478376,0.57606837606837602,0.73101952277657267,461,337,0.42393162393162398,0.26898047722342733
20230426,0.57206922821071104,0.44566929133858268,0.61655773420479298,459,283,0.55433070866141732,0.38344226579520702
20230427,0.65024078556590448,0.50162866449511401,0.66811279826464209,461,308,0.49837133550488599,0.33188720173535791
20230428,0.82083056100077489,0.47487844408427876,0.643956043956044,455,293,0.52512155591572118,0.356043956043956
20230504,0.61395543949815778,0.51333333333333331,0.67841409691629961,454,308,0.48666666666666669,0.32158590308370039
20230505,0.85330390392708455,0.60558464223385688,0.7543478260869565,460,347,0.39441535776614312,0.2456521739130435
20230508,0.57305531787814024,0.49755301794453505,0.66448801742919394,459,305,0.5024469820554649,0.33551198257080606
20230509,0.75552828835924846,0.51724137931034486,0.68181818181818177,462,315,0.48275862068965514,0.31818181818181823
20230510,0.63640204596261851,0.52396694214876038,0.68763557483731019,461,317,0.47603305785123962,0.31236442516268981
20230511,0.52389837797137206,0.11407766990291263,0.20479302832244009,459,94,0.88592233009708732,0.79520697167755994
20230512,0.62150650200922986,0.68306010928961747,0.81168831168831168,462,375,0.31693989071038253,0.18831168831168832
20230515,0.61960135312493503,0.51644736842105265,0.68112798264642083,461,314,0.48355263157894735,0.31887201735357917
20230516,0.68892825161403304,0.60138648180242638,0.75108225108225113,462,347,0.39861351819757362,0.24891774891774887
20230517,0.59116063647743822,0.54103852596314905,0.70217391304347831,460,323,0.45896147403685095,0.29782608695652169
20230518,0.655580366211999,0.63410301953818826,0.77608695652173909,460,357,0.36589698046181174,0.22391304347826091
20230519,0.62621564241233152,0.52396694214876038,0.68763557483731019,461,317,0.47603305785123962,0.31236442516268981
20230522,0.65732079945945976,0.5181518151815182,0.68260869565217386,460,314,0.4818481848184818,0.31739130434782614
20230523,0.76600829770343148,0.62257495590828926,0.7673913043478261,460,353,0.37742504409171074,0.2326086956521739
20230524,0.73227855080140436,0.59445407279029461,0.7456521739130435,460,343,0.40554592720970539,0.2543478260869565
20230525,0.61691808325949804,0.53078202995008317,0.69347826086956521,460,319,0.46921797004991683,0.30652173913043479
20230526,0.67317198756618901,0.52570480928689889,0.68913043478260871,460,317,0.47429519071310111,0.31086956521739129
20230529,0.75497233918494733,0.68555758683729429,0.81344902386117135,461,375,0.31444241316270571,0.18655097613882865
20230530,0.78746234682018945,0.58894645941278068,0.74130434782608701,460,341,0.41105354058721932,0.25869565217391299
20230531,0.73576171369047882,0.71588785046728975,0.83442265795206971,459,383,0.28411214953271025,0.16557734204793029
20230601,0.68683497483297418,0.65467625899280579,0.79130434782608694,460,364,0.34532374100719421,0.20869565217391306
20230602,0.59698617418527011,0.5604770017035775,0.71834061135371174,458,329,0.4395229982964225,0.28165938864628826
20230605,0.73252904094593729,0.6098418277680141,0.75764192139737996,458,347,0.3901581722319859,0.24235807860262004
20230606,0.76935546242380293,0.69999999999999996,0.82352941176470584,459,378,0.30000000000000004,0.17647058823529416
20230607,0.70073697815626035,0.65280289330922248,0.78993435448577676,457,361,0.34719710669077752,0.21006564551422324
20230608,0.5967368172166222,0.71057513914656767,0.83080260303687636,461,383,0.28942486085343233,0.16919739696312364
20230609,0.63785749684017767,0.67706422018348622,0.80743982494529543,457,369,0.32293577981651378,0.19256017505470457
20230612,0.58444116663851431,0.52159468438538203,0.68558951965065507,458,314,0.47840531561461797,0.31441048034934493
20230613,0.61811044730111075,0.59375,0.74509803921568629,459,342,0.40625,0.25490196078431371
20230614,0.75827008019473285,0.61619718309859151,0.76252723311546844,459,350,0.38380281690140849,0.23747276688453156
20230615,0.62888139333674709,0.55668358714043997,0.7152173913043478,460,329,0.44331641285956003,0.2847826086956522
20230616,0.62999364081316478,0.59652173913043482,0.74727668845315909,459,343,0.40347826086956518,0.25272331154684091
20230619,0.85654855460374602,0.58275862068965523,0.73638344226579522,459,338,0.41724137931034477,0.26361655773420478
20230620,0.80619056022696001,0.63475177304964536,0.77657266811279824,461,358,0.36524822695035464,0.22342733188720176
20230621,0.86217741561412986,0.65467625899280579,0.79130434782608694,460,364,0.34532374100719421,0.20869565217391306
20230626,0.85349655343987874,0.68498168498168499,0.81304347826086953,460,374,0.31501831501831501,0.18695652173913047
20230627,0.8225697615073343,0.51074380165289257,0.67614879649890591,457,309,0.48925619834710743,0.32385120350109409
20230628,0.80291955782910596,0.48148148148148145,0.65000000000000002,460,299,0.5185185185185186,0.34999999999999998
20230629,0.80760864275923316,0.63279857397504458,0.77510917030567683,458,355,0.36720142602495542,0.22489082969432317
20230630,0.78701485152693917,0.56849315068493156,0.72489082969432317,458,332,0.43150684931506844,0.27510917030567683
20230703,0.80785908322352806,0.62765957446808507,0.77124183006535951,459,354,0.37234042553191493,0.22875816993464049
20230704,0.84266374396102062,0.70895522388059706,0.82969432314410485,458,380,0.29104477611940294,0.17030567685589515
20230705,0.79378893934340899,0.61754385964912284,0.7635574837310195,461,352,0.38245614035087716,0.2364425162689805
20230706,0.79564458407251004,0.63475177304964536,0.77657266811279824,461,358,0.36524822695035464,0.22342733188720176
20230707,0.75620441610156353,0.43478260869565216,0.60606060606060608,462,280,0.56521739130434789,0.39393939393939392
20230710,0.76834759145368225,0.38138138138138139,0.55217391304347829,460,254,0.61861861861861867,0.44782608695652171
20230711,0.7950892393178377,0.59445407279029461,0.7456521739130435,460,343,0.40554592720970539,0.2543478260869565
20230712,0.82873886023823562,0.62323943661971826,0.76789587852494579,461,354,0.37676056338028174,0.23210412147505421
