trade_date,rows,finite_predictions,nonfinite_predictions,finite_labels,ic_rows,return_eligible_rows,turnover_eligible_rows,return_top_count,return_bottom_count,turnover_top_count,rank_ic,top_return,top_excess,top_bottom_spread,turnover
20220411,4650,4225,425,4228,4225,4164,4164,417,416,417,-0.035598568964237576,0.010951474786770825,-0.0067913574398095131,-0.00072313559838463326,0.87567567567567561
20220412,4650,4228,422,4232,4228,4117,4117,412,411,412,0.089758966124239795,-0.019867697389849039,-0.00011918000288590677,0.0052473909852720317,0.9177545691906005
20220413,4650,4232,418,4234,4232,4172,4172,418,417,418,-0.020301992829499071,0.0084694320766828396,-0.00070005662234176071,0.00028443462686938113,0.94132653061224492
20220414,4650,4234,416,4231,4230,4147,4151,415,414,416,0.098152898154110477,-0.01524165531203716,0.0019847529017534456,0.0086607052664355137,0.90407358738501975
20220415,4650,4231,419,4226,4226,4181,4186,419,418,419,0.0039939992012228143,0.0048918950285738103,-0.00098012814904961925,0.0074860917960198822,0.90849673202614378
20220418,4650,4226,424,4227,4223,4132,4135,414,413,414,-0.13127937005007398,-0.0038101960293871876,-0.0092530024159556291,-0.0095633119776892799,0.90968586387434558
20220419,4650,4227,423,4227,4224,4154,4157,416,415,416,-0.053174481410397705,-0.014946484854278991,-0.0046350949012554394,-0.0049249186128079384,0.95859473023839392
20220420,4650,4227,423,4233,4226,4163,4164,417,416,417,0.16499407766483698,-0.036529220699859588,0.0020329899272405819,0.0075375354663344205,0.95220125786163523
20220421,4650,4233,417,4236,4230,4193,4195,420,419,420,0.15281229549991213,-0.004019045536894186,0.0042813277599843391,0.015251994202749674,0.90013140604467812
20220422,4650,4236,414,4232,4231,4141,4146,415,414,415,0.2340172454483733,-0.065673939537323436,0.0098419784244433706,0.014170297640571927,0.88219544846050868
20220425,4650,4232,418,4235,4228,4196,4199,420,419,420,0.24573971575220901,-0.019278402100558801,0.015349669134406285,0.019099091224248219,0.89403973509933776
20220426,4650,4235,415,4235,4232,4186,4189,419,418,419,-0.04909809277590315,0.022394811803705925,-0.0072764619404035447,0.014939864195275631,0.84594222833562582
20220427,4650,4235,415,4226,4224,4081,4092,409,408,410,0.17424277892288187,-0.011546505408021731,0.0060419890328852251,0.011332583941076222,0.95328282828282829
20220428,4650,4226,424,4219,4216,4124,4133,413,412,414,-0.25271157383726972,0.03005673930286356,-0.013956434413112007,-0.022476559145963755,0.9186351706036745
20220429,4650,4219,431,4191,4177,3933,3967,394,393,397,0.09443572237965768,0.018474379310289314,0.0011361695104448039,0.0086569238473076671,0.95489690721649489
20220505,4650,4191,459,4189,4178,4004,4016,401,400,402,0.27481938918758081,-0.0059034075574126831,0.0063035884389829721,0.021115993577575362,0.94172185430463573
20220506,4650,4189,461,4217,4185,4083,4087,409,408,409,0.00084619934490633619,0.014192735902477093,-0.0030007825504943433,-0.0061519648645940676,0.90553306342780027
20220509,4650,4217,433,4232,4215,4051,4053,406,405,406,0.024168266505111662,0.017332464281092676,0.001697844480860973,0.0061262652382570448,0.934640522875817
20220510,4650,4232,418,4235,4230,4105,4107,411,410,411,0.030843082675354412,0.0029265298448758279,0.0012695632830698796,0.0018815723526166696,0.91211717709720375
20220511,4650,4235,415,4233,4231,4132,4134,414,413,414,-0.14900784318647783,-0.0019895855410757149,-0.0097351063907190616,-0.008833447539775937,0.89261744966442957
20220512,4650,4233,417,4236,4231,4146,4147,415,414,415,-0.12078538480420668,-0.001043431372163287,-0.0078064997399533743,-0.0080502316495588439,0.94394904458598727
20220513,4650,4236,414,4237,4233,4117,4120,412,411,412,0.04340715357935452,-6.1209673706764641e-05,-0.002197062181151622,-0.0024485415462121348,0.93974358974358974
20220516,4650,4237,413,4237,4235,4124,4126,413,412,413,-0.13882605480355859,-0.010461704600898854,-0.0090170989888470696,-0.011497325140225181,0.91304347826086962
20220517,4650,4237,413,4237,4235,4149,4150,415,414,415,-0.070745189794674521,0.0012578279009774946,-0.0059884121537153679,-0.0060091628377287763,0.94522292993630574
20220518,4650,4237,413,4234,4231,4114,4120,412,411,412,0.051538905208423226,0.0064245652595795082,-0.00047308239794403763,0.00034230702653568253,0.9315245478036176
20220519,4650,4234,416,4234,4230,4129,4133,413,412,414,-0.1433432985385259,0.0048764254169972165,-0.007049197974897576,-0.0089817382294979688,0.91743119266055051
20220520,4650,4234,416,4240,4232,4127,4128,413,412,413,0.022517590301068428,0.010275791994929208,-0.0028550326999983913,0.0051210357664051125,0.94783715012722647
20220523,4650,4240,410,4241,4239,4126,4127,413,412,413,-0.10247651387899735,-0.043652897078600032,-0.0015538981501471011,-0.0039214248524482506,0.93556701030927836
20220524,4650,4241,409,4240,4237,4190,4194,419,419,420,-0.15603361736841881,0.01115488360583655,-0.0097409310893380122,-0.0092618574291978093,0.93478260869565222
20220525,4650,4240,410,4239,4238,4120,4121,412,412,413,0.012845319348230778,0.0018245928943155642,-0.0034721379933393996,0.0044754144556867388,0.95351758793969854
20220526,4650,4239,411,4240,4235,4158,4162,416,415,417,0.051408413820188993,0.00051452074704165518,-1.4188313842638449e-05,0.0054797283804423188,0.92347600518806749
20220527,4650,4240,410,4238,4236,4145,4149,415,414,415,0.035287824558338017,0.0080816040234313376,-0.00054194841679643287,0.0028648200039323723,0.92506459948320408
20220530,4650,4238,412,4244,4237,4137,4138,414,413,414,-0.004136576738791314,0.002480588202339169,-0.0070258582071280572,-0.00072168253675744271,0.9120734908136483
20220531,4650,4244,406,4246,4242,4142,4144,415,414,415,-0.046705407889317346,-0.0010697758622751808,-0.0063215555834264039,-0.0038175460571504252,0.94125159642401024
20220601,4650,4246,404,4244,4243,4158,4161,416,415,417,0.10235405328969442,0.007917365689572662,0.0013490878038745985,0.0069572831853361031,0.93742017879948913
20220602,4650,4244,406,4245,4244,4155,4155,416,415,416,0.13485154912184893,0.01894487184195941,0.0035827146709482387,0.0086281312328306374,0.90968586387434558
20220606,4650,4245,405,4251,4243,4156,4158,416,415,416,-0.077187062543680671,-0.0062705194959404714,-0.0022831996825935699,0.00072883911722346813,0.89214380825565909
20220607,4650,4251,399,4252,4251,4178,4178,418,417,418,-0.035879448741319493,-0.0055017817281858526,-0.0045658559426834666,-0.0039836351931915714,0.92939666238767649
20220608,4650,4252,398,4251,4249,4168,4170,417,416,417,0.091147193425246381,-0.02111693532083404,-0.0025887095754321583,0.0040291152251765439,0.91699092088197143
20220609,4650,4251,399,4250,4250,4199,4200,420,419,420,-0.21131720748252927,0.0092270226506986908,-0.0079208197930071,-0.014169663981670237,0.90731070496083555
20220610,4650,4250,400,4251,4247,4140,4143,414,414,415,0.21484234773633137,0.012413566461737,0.008988696894639733,0.018194163894636912,0.94703656998738961
20220613,4650,4251,399,4252,4248,4167,4169,417,416,417,-0.13030751232632401,0.0024839744343649762,0.00082472482511730671,-0.0016039541870766054,0.88021534320323014
20220614,4650,4252,398,4252,4252,4179,4179,418,417,418,-0.059103143053643795,-0.0080686320997940004,-0.0064703325593576276,-0.0035106382983547306,0.90275952693823913
20220615,4650,4252,398,4255,4252,4190,4190,419,419,419,0.037349259613588537,0.0006287123505924763,-0.0065499122740322498,0.0011473294005906109,0.91015625
20220616,4650,4255,395,4255,4253,4181,4183,419,418,419,-0.11889554306210846,0.0022454242136046767,-0.0022748692334654159,-0.0029960790577122686,0.93654822335025378
20220617,4650,4255,395,4257,4255,4183,4183,419,418,419,0.037864891100846496,0.012400098566349157,0.0011156162780253526,0.0045363604539288976,0.92287917737789205
20220620,4650,4257,393,4258,4256,4148,4149,415,414,415,-0.007154931214643289,-0.011211007370767228,-0.007426863942219834,-0.000186548133359608,0.8938992042440318
20220621,4650,4258,392,4256,4253,4195,4200,420,419,420,-0.18015579591773617,-0.020333608878514948,-0.0077625201631071183,-0.015801560334599243,0.94570707070707072
20220622,4650,4256,394,4257,4254,4173,4175,418,417,418,-0.063317638500325624,0.021980989433342951,0.0036101136043229752,0.004337663653434836,0.94325346784363173
20220623,4650,4257,393,4259,4254,4143,4145,415,414,415,0.076503805237685144,0.013762558341557421,0.0036007451478793397,0.0090861142268131162,0.90538764783180026
20220624,4650,4259,391,4263,4259,4143,4143,415,414,415,-0.036009777674212005,0.010211174499095232,0.0018694189310609361,-0.00088436121068824654,0.90066225165562919
20220627,4650,4263,387,4265,4262,4147,4148,415,414,415,-0.046919164286658897,0.0090995156990171678,-0.0048129712514529601,-0.0025173453274174879,0.91076115485564302
20220628,4650,4265,385,4264,4262,4123,4126,413,412,413,-0.065010134308551459,-0.029955346130565469,-0.0093147481673035958,0.00042737991072981305,0.93573264781491006
20220629,4650,4264,386,4264,4261,4191,4193,420,419,420,0.046213237321132306,0.0087136057294524959,0.00040054399426586902,0.0046691552650574304,0.96650124069478904
20220630,4650,4264,386,4266,4262,4171,4172,418,417,418,-0.12984934122227471,-0.0092567863488300251,-0.0083011231595729977,-0.0057921192465820275,0.91870967741935483
20220701,4650,4266,384,4271,4261,4187,4192,419,418,420,0.032956666351402,0.0083127210314547888,0.0023740046083957573,0.0079584932653917369,0.93654822335025378
20220704,4650,4271,379,4273,4271,4175,4175,418,417,418,0.009765365161199361,-0.0090585411024340177,-0.0011509957105695218,0.0020506716878935551,0.90743155149934807
20220705,4650,4273,377,4275,4273,4225,4225,423,422,423,-0.15641508818915661,-0.018013533999607426,-0.0080080784806184635,-0.01409033999578925,0.93138500635324017
20220706,4650,4275,375,4279,4274,4217,4218,422,421,422,-0.020191080533675312,0.0061802695956466947,-0.00062429341377385084,-0.0011584779246168473,0.91527599486521183
20220707,4650,4279,371,4280,4279,4189,4189,419,418,419,-0.21927975942811717,-0.015389914098825739,-0.017192591375436831,-0.019776004329369216,0.90920881971465628
20220708,4650,4280,370,4278,4278,4204,4206,421,420,421,0.11189666819459887,-0.0050518629512464738,0.0031601061438227889,0.0060625445682861356,0.95131086142322097
20220711,4650,4278,372,4276,4275,4206,4209,421,420,421,0.095371377228360157,-0.014136197864666033,0.0004914753753749463,0.0062954505708512874,0.89356110381077525
20220712,4650,4276,374,4279,4274,4215,4217,422,421,422,-0.060491935334787132,0.01277118041720939,-0.00024447224481524525,-0.0013500059269355488,0.90234375
20220713,4650,4279,371,4280,4279,4170,4170,417,417,417,-0.029798818735883189,0.012160528259720842,0.0068791472975853899,0.0027728991636242224,0.90469973890339428
20220714,4650,4280,370,4283,4280,4201,4201,421,420,421,0.23033076896018181,-0.0048270660284817739,0.013609031533845479,0.023185165778453965,0.90314136125654454
20220715,4650,4283,367,4284,4283,4219,4219,422,421,422,-0.26009702187264055,0.018540792443539657,-0.0070626164339543697,-0.017299091322732663,0.90377113133940179
20220718,4650,4284,366,4283,4281,4153,4155,416,415,416,0.077593812020332373,0.0065173654391675589,-0.0037192255127935937,0.00083176320025710529,0.93654822335025378
20220719,4650,4283,367,4285,4283,4186,4186,419,418,419,-0.021870451327438197,0.0080217335720248698,-0.00094351928295663239,-0.0019279873647491449,0.94836272040302272
20220720,4650,4285,365,4285,4285,4180,4180,418,418,418,-0.033545354877938867,-0.0098595302008515611,-0.0051796536530595884,-0.0034947742627259235,0.93375796178343951
