experiment,fold,variant,alpha,exit_fraction,ic_mean,annual_excess,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows
E006,F1,grid,1,0.125,0.1235778365479329,0.53131367234562221,0.7888069642117651,0.27218314705933022,0.83571683369490213,0.00031633842788820002,110641
E006,F2,grid,1,0.125,0.1049648216354864,0.36268736997878043,0.82401418040082475,0.2035878855275812,0.8553504423076681,0.0002064187248706,111424
E006,F1,grid,1,0.14999999999999999,0.1235758971550488,0.52948771759514945,0.74953316092536793,0.28341672586295402,0.81049939572696905,0.0003073001870915,110641
E006,F2,grid,1,0.14999999999999999,0.1049470718790057,0.35563154910704742,0.7892378980978465,0.21189692405436261,0.82809777193377765,0.00017949454336580001,111424
E006,F1,grid,0.90000000000000002,0.10000000000000001,0.1234722139483154,0.50810456035098495,0.78560543515707215,0.26613862313749992,0.79426577670236942,0.00029826194629470001,110641
E006,F2,grid,0.90000000000000002,0.10000000000000001,0.1048823609371328,0.33512472739584992,0.81719791953990595,0.19733098673163621,0.82278618471155363,0.00017949454336580001,111424
E006,F1,grid,0.90000000000000002,0.125,0.1234641321416052,0.50561531321153885,0.74272538193968285,0.2782526322381989,0.79085915608045165,0.00031633842788820002,110641
E006,F2,grid,0.90000000000000002,0.125,0.1048692915372965,0.33551835129977492,0.77979340332963665,0.20866520100596,0.81228307312903925,0.0001615450890292,111424
E006,F1,grid,0.90000000000000002,0.14999999999999999,0.1234537766515332,0.50662219717617651,0.70203767833417785,0.29075686631321263,0.76621498384171915,0.00032537666868510002,110641
E006,F2,grid,0.90000000000000002,0.14999999999999999,0.1048358502560315,0.33357163900815162,0.74259748555015825,0.2192265861398105,0.7838751912939077,0.00015257036186090001,111424
E006,F1,grid,0.80000000000000004,0.10000000000000001,0.12251177925856541,0.47034743197814782,0.73707043691423724,0.26898781022259932,0.74436037601406002,0.00029826194629470001,110641
E006,F2,grid,0.80000000000000004,0.10000000000000001,0.1040310989522996,0.30724607450414232,0.76929050127688625,0.20299911154909661,0.77453868703914674,0.0001435956346927,111424
E006,F1,grid,0.80000000000000004,0.125,0.1225028113761346,0.47054420692875443,0.69171256294015915,0.28265061774703232,0.74206714536195983,0.00031633842788820002,110641
E006,F2,grid,0.80000000000000004,0.125,0.10401298115237,0.30344113154733732,0.72754631671728265,0.2143736369099643,0.76280124824197115,0.00013462090752440001,111424
E006,F1,grid,0.80000000000000004,0.14999999999999999,0.122466785364789,0.46866365267323662,0.65033869694014235,0.29448420086584381,0.71641556533548356,0.00032537666868510002,110641
E006,F2,grid,0.80000000000000004,0.14999999999999999,0.1039613027805386,0.29797871176984952,0.69016390643166692,0.2239289627136703,0.73328623088464984,0.00013462090752440001,111424
E006,F1,grid,0.69999999999999996,0.10000000000000001,0.1205804952403952,0.45973626156495401,0.68972197935836255,0.2792364827581354,0.6982476002004937,0.00031633842788820002,110641
E006,F2,grid,0.69999999999999996,0.10000000000000001,0.1024370474621653,0.27331810480448843,0.72160128161554493,0.20648986594154911,0.72818504449356491,0.0001435956346927,111424
E006,F1,grid,0.69999999999999996,0.125,0.1205707841296727,0.45936605771996192,0.63885749743877185,0.29438088173622601,0.69523236801997546,0.0003073001870915,110641
E006,F2,grid,0.69999999999999996,0.125,0.1024126432638621,0.27161533906657542,0.67581466014734226,0.21970526098131471,0.71463441879111933,0.0001435956346927,111424
E006,F1,grid,0.69999999999999996,0.14999999999999999,0.1205258348854939,0.4533309179005926,0.59522505764238876,0.30564209203165871,0.66435966648228262,0.00029826194629470001,110641
E006,F2,grid,0.69999999999999996,0.14999999999999999,0.1023771156302255,0.2696856220735741,0.63439728448386135,0.23153734752900401,0.67911496148255224,0.0001435956346927,111424
E006,F1,grid,0.59999999999999998,0.10000000000000001,0.1178119207837293,0.43959400646466962,0.64147867998942865,0.28655936625606382,0.64895761592969925,0.00029826194629470001,110641
E006,F2,grid,0.59999999999999998,0.10000000000000001,0.1001770542768132,0.2621516852372926,0.6733849510815676,0.2167008419574428,0.67940263033031845,0.00015257036186090001,111424
E006,F1,grid,0.59999999999999998,0.125,0.11778780654517811,0.43968605900571722,0.58508064309491226,0.3034967473913126,0.64453151081296045,0.00028922370549780001,110641
E006,F2,grid,0.59999999999999998,0.125,0.10015737509458821,0.2603298185968263,0.62174429157545563,0.2316386081442465,0.66234435043504913,0.00015257036186090001,111424
E006,F1,grid,0.59999999999999998,0.14999999999999999,0.1177363755911567,0.42901191824022022,0.53825991895202352,0.3143201500229218,0.60985579860681516,0.00028018546470100003,110641
E006,F2,grid,0.59999999999999998,0.14999999999999999,0.1001090719180743,0.24882654151832001,0.57591736923280124,0.2419163804528853,0.62247492158768625,0.00015257036186090001,111424
E006,F1,grid,0.5,0.10000000000000001,0.1141480971404171,0.42647538499680182,0.58779497227752753,0.29726336267194903,0.59679727312908781,0.00028018546470100003,110641
E006,F2,grid,0.5,0.10000000000000001,0.097213175907681401,0.24811118364649651,0.61988368755907186,0.22735351918929991,0.62576503195282152,0.00015257036186090001,111424
E006,F1,grid,0.5,0.125,0.1141250234057284,0.42524430306061661,0.52758026348122866,0.31494922123610752,0.59141588183649385,0.00027114722390430001,110641
E006,F2,grid,0.5,0.125,0.097192337826693107,0.24585037318415931,0.56170737635385715,0.2441198341797679,0.60492444697939862,0.00015257036186090001,111424
E006,F1,grid,0.5,0.14999999999999999,0.1140607961370018,0.41772516870268622,0.47876642382753892,0.32731194191734492,0.55148490933482841,0.00026210898310750002,110641
E006,F2,grid,0.5,0.14999999999999999,0.097126823935876502,0.2344348965134822,0.51145403152238511,0.2557449890716797,0.55975510022546815,0.0001615450890292,111424
E005,F3,confirmation,0.5,0.14999999999999999,0.1029395272858217,0.5300159761154658,0.50391226729918281,0.34900692355921342,0.53126398594975166,0.015829580565950501,110363
E005,F3,confirmation,1,0.10000000000000001,0.111480984320216,0.61924264019162245,0.85720761591659045,0.27320290101059602,0.86127429030213254,0.0303543760137002,110363
E006,F3,confirmation,0.5,0.14999999999999999,0.1140018610656835,0.35996035373739033,0.45519605534197771,0.3170300339448972,0.48062431787901932,0.000289952248489,110363
E006,F3,confirmation,1,0.10000000000000001,0.1233623681879983,0.47979385391240892,0.81873218544238913,0.24766344781620531,0.82178029718775902,0.0016219203899857,110363
