experiment,fold,target,model,feature_set,ic_mean,ic_std,icir,ic_positive_ratio,annual_excess,top1_annual_ret,mean_turnover,final_score,diagnostic_turnover,missing_top_fraction,top_rows,missing_top_rows
E002,F2,raw,lightgbm_reg_v1,Basic40,0.037733388055042921,0.079760282807636584,0.47308493308689936,0.69834710743801653,0.18541387148664007,0.2048371088067574,0.48469510584718489,0.2253089849138537,0.84273031538465981,0.56162047673750715,111424,62578
E003,F2,raw,lightgbm_reg_v1,Full147,0.068168228094004524,0.10331315428574259,0.65982138059075668,0.78099173553719003,0.25048818325878686,0.26991142057890422,0.84148613788637305,0.14996790484932596,0.89318902674473455,0.24718193566915567,111424,27542
E004,F2,rank,lightgbm_reg_v1,Full147,0.10707188740105335,0.10676083224710593,1.0029135699619449,0.85537190082644632,0.33842080607686337,0.35784404339698073,0.85583497971658395,0.18760450286850516,0.85306362263848934,0.063146180356117174,111424,7036
E005,F2,relative,lightgbm_reg_v1,Full147,0.076210303172205771,0.10197830927296006,0.74731875548375293,0.77685950413223137,0.30987102845115305,0.32929426577127036,0.67663761080822238,0.22045414656176149,0.86815733213843505,0.44095526995979323,111424,49133
E006,F2,rank,xgboost_reg_v1,Full147,0.10565662003381664,0.10607980277252697,0.99601071337191494,0.86363636363636365,0.36057923280346904,0.38000247012358646,0.85933090166316572,0.19263714735561766,0.86490230641059496,0.00019744399770246985,111424,22
E007,F2,rank_decile,lightgbm_ranker_v1,Full147,-0.075416890603971803,0.13678237769793034,-0.55136408558799999,0.30991735537190085,-0.53170813691150987,-0.51228489959139267,0.30646935023674032,0.018379997613936189,0.50259056835050653,0.56175509764503162,111424,62593
E000,F3,raw,identity,ret_1_only,,,0,0.19834710743801653,-0.44423254385493416,-0.45827719485523122,0.91753809915476348,,0.91913158084822033,0.00045305038826418272,110363,50
E001,F3,raw,ridge_v1,Basic40,0.066382732945082262,0.14424023433821298,0.46022341304180586,0.66528925619834711,0.10827775925362768,0.094233108253330741,0.85155774248734872,0.1035690982079166,0.85215603828087116,0.019544593749716843,110363,2157
E002,F3,raw,lightgbm_reg_v1,Basic40,0.086225093159849317,0.13259199554869724,0.65030391014954825,0.75206611570247939,0.44510663879195245,0.43106198779165544,0.72121480337997601,0.25165758788753267,0.8534403375404892,0.27758397288946479,110363,30635
E003,F3,raw,lightgbm_reg_v1,Full147,0.11198095127148332,0.17321612912553544,0.64648108600976195,0.78925619834710747,0.64290133853966702,0.62885668753937007,0.87366154431669463,0.27556431877548504,0.8758724177685091,0.032284370667705661,110363,3563
E004,F3,rank,lightgbm_reg_v1,Full147,0.12368355112135608,0.17063898358135882,0.72482587815219324,0.7975206611570248,0.46701873063087862,0.45297407963058167,0.82422451933674046,0.24231168383678389,0.82157266241002502,0.074381812745213521,110363,8209
E005,F3,relative,lightgbm_reg_v1,Full147,0.11287566750275899,0.16516953554577876,0.68339277657818509,0.78925619834710747,0.61924264019162267,0.60519798919132595,0.85720761591659056,0.27376077428361323,0.86127429030213254,0.030354376013700245,110363,3350
E006,F3,rank,xgboost_reg_v1,Full147,0.12482723885610748,0.16873323149147493,0.73979048319485452,0.7975206611570248,0.47979385391240914,0.4657492029121123,0.81873912852522779,0.24824731315859741,0.82178029718775902,0.0016219203899857741,110363,179
E007,F3,rank_decile,lightgbm_ranker_v1,Full147,-0.044786917671639261,0.20419174245666113,-0.2193375556366835,0.38842975206611569,-0.54937203019467751,-0.56341668119497412,0.5111533457512264,-0.036072379852426867,0.60416023454695023,0.27993077390067322,110363,30894
